Entry	Date	Description	Documents
94	2026-03-17	ORDER granting 89 Motion for Pro Hac Vice	Order on Motion for Pro Hac Vice
95	2026-03-17	ORDER granting 91 Motion for Pro Hac Vice	Order on Motion for Pro Hac Vice
96	2026-03-17	OPPOSITION/RESPONSE (re 6 MOTION for TRO/PI/Section 705 stay) by Defendants (Atkins, Bessent, Hegseth, all defendant officials and agencies). Attachments: Decl. of James W. Harlow; Exhibit A: Dep't of War Documents (Redacted); Decl. of Emil Michael; Proposed Order	Opposition/Response || Decl. Harlow || Ex. A (Redacted) || Decl. Michael || Proposed Order
97	2026-03-17	Administrative Motion to File Under Seal (Dep't of War Documents - Unredacted) by Defendants	Admin Mot. to Seal || Proposed Order || Ex. Unredacted Documents
98	2026-03-18	MOTION for leave to appear in Pro Hac Vice (Koh, Harold) (Former Senior National Security Government Officials)	Motion for Pro Hac Vice || Ex. Cert. of Good Standing
99	2026-03-18	Amended MOTION for leave to appear in Pro Hac Vice Katherine Gallagher (Abolitionist Law Center)	Motion for Pro Hac Vice
100	2026-03-18	NOTICE of Appearance by Meetali Jain on behalf of Tech Justice Law Project	Notice of Appearance
101	2026-03-18	ORDER granting 98 Motion for Pro Hac Vice	Order on Motion for Pro Hac Vice
102	2026-03-18	ORDER granting 99 Motion for Pro Hac Vice	Order on Motion for Pro Hac Vice
103	2026-03-18	First MOTION for leave to appear in Pro Hac Vice Bassel El-Rewini (Abolitionist Law Center)	Motion for Pro Hac Vice
104	2026-03-18	ORDER granting 103 Motion for Pro Hac Vice	Order on Motion for Pro Hac Vice
105	2026-03-18	NOTICE of Appearance by Saja Spearman-Weaver (Freedom Economy Business Association)	Notice of Appearance
106	2026-03-19	First MOTION for leave to appear in Pro Hac Vice (ACT The App Association) (Gregor)	Motion for Pro Hac Vice || Cert. of Good Standing
107	2026-03-19	ORDER granting 106 Motion for Pro Hac Vice	Order on Motion for Pro Hac Vice
108	2026-03-19	First MOTION for leave to appear in Pro Hac Vice (ACT The App Association) (Scarpelli)	Motion for Pro Hac Vice
109	2026-03-19	First MOTION for leave to appear in Pro Hac Vice (Scarpelli; fee previously paid)	Motion for Pro Hac Vice || Cert. of Good Standing
110	2026-03-20	ORDER granting 109 Motion for Pro Hac Vice	Order on Motion for Pro Hac Vice
111	2026-03-20	CLERK'S NOTICE OF COURTROOM CHANGE: PI hearing 3/24/2026 1:30 PM in Courtroom 12, 19th Floor SF	Text-only entry
112	2026-03-20	CLERK'S NOTICE RE: ZOOM ACCESS for PI hearing 3/24/2026	Text-only entry
113	2026-03-20	REPLY (re 6 MOTION for TRO/PI/Section 705 stay) by Anthropic PBC	Reply
114	2026-03-20	Decl. of Sarah Heck in Support of 113 Reply by Anthropic; Exhibits 1-2	Declaration || Exhibits
115	2026-03-20	Decl. of Thiyagu Ramasamy in Support of 113 Reply by Anthropic	Declaration
116	2026-03-20	Decl. of Michael J. Mongan in Support of 113 Reply by Anthropic; Exhibit 1	Declaration || Exhibit
117	2026-03-20	ORDER: Defendants may submit declarations/evidence in response by 3/24/2026 at 9:00 a.m. (text-only)	Text-only entry
118	2026-03-23	NOTICE OF QUESTIONS FOR HEARING by Judge Lin	Notice of Questions
119	2026-03-23	NOTICE of Appearance by Eric J. Hamilton for Defendants	Notice of Appearance
120	2026-03-24	NOTICE of Filing the Second Declaration of Emil Michael in Opposition to PI Motion by Defendants	Notice || Decl. Emil Michael (Second)
121	2026-03-20	MOTION for Leave to File Amicus Curiae Brief by David F. Brochu (filed after deadline)	Motion for Leave
122	2026-03-20	CLERK'S NOTICE re Dkt. 121 amicus brief filed after deadline	Text-only entry
123	2026-03-24	Minute Entry: PI Motion Hearing held 3/24/2026 (1h 35m). Court took matter under submission. Plaintiff to file decl. by 6PM; Govt response due 3/25 6PM. Plaintiff attorneys: Mongan, Geltzer, Beatty, Hennessey, Data, Israel, Bleich, Sridhar. Def attys: Hamilton, Dibblee	Minute Entry
124	2026-03-24	TRANSCRIPT ORDER for 3/24/2026 proceedings by Anthropic	Transcript Order
125	2026-03-24	TRANSCRIPT ORDER for 3/24/2026 proceedings by Defendants	Transcript Order
126	2026-03-24	Decl. of Thiyagu Ramasamy in Support of 6 MOTION by Anthropic	Declaration
127	2026-03-25	TRANSCRIPT ORDER for 3/24/2026 proceedings by Ekhaus	Transcript Order
128	2026-03-25	TRANSCRIPT of 3/24/2026 Proceedings before Judge Lin (Court Reporter Ekhaus). Release of Transcript Restriction 6/23/2026	Transcript
129	2026-03-25	TRANSCRIPT ORDER for 3/24/2026 proceedings	Transcript Order
130	2026-03-25	TRANSCRIPT ORDER for 3/24/2026 proceedings	Transcript Order
131	2026-03-25	OPPOSITION/RESPONSE re 6 MOTION - Response to Third Declaration of Thiyagu Ramasamy by Defendants	Opposition Response
132	2026-03-26	TRANSCRIPT ORDER for 3/24/2026 proceedings by Ekhaus	Transcript Order
133	2026-03-26	CORRECTED TRANSCRIPT of 3/24/2026 Proceedings (fix typos) by Ekhaus. Release of Restriction 6/24/2026	Transcript (Corrected)
134	2026-03-26	ORDER GRANTING MOTION FOR PRELIMINARY INJUNCTION 6 (43 pages). Signed by Judge Rita F. Lin	Order Granting PI (Opinion)
135	2026-03-26	PRELIMINARY INJUNCTION ORDER. Signed by Judge Rita F. Lin	Preliminary Injunction (3 pages)
136	2026-03-27	Order granting unopposed 121 Motion to File Amicus Curiae Brief (text-only)	Text-only entry
137	2026-03-27	ORDER re 97 Admin Motion to Seal: insufficient showing for compelling reason; may submit further evidence by April 3, 2026 (text-only)	Text-only entry
138	2026-03-30	NOTICE of Appearance by Celine Georges Purcell (Freedom Economy Business Association and Values-Led Investors)	Notice of Appearance
139	2026-04-01	ORDER: parties to submit joint stipulation and proposed order setting case schedule by 4/21/2026 (text-only)	Text-only entry
140	2026-04-01	TRANSCRIPT ORDER for 3/24/2026 proceedings	Transcript Order
141	2026-04-02	NOTICE OF APPEAL to the 9th Circuit by Defendants (Appeal fee FEE WAIVED)	Notice of Appeal
142	2026-04-02	NOTICE of Appearance by Kristina Wolfe for Defendants	Notice of Appearance
143	2026-04-01	Receipt $100.00 from Anthropic (bond) via pay.gov 280SSE4P	Receipt
144	2026-04-03	TRANSCRIPT ORDER by amici (Cato, Chamber of Progress, EFF, FALA, FIRE)	Transcript Order
145	2026-04-03	USCA Case Number 26-2011 (9th Cir.) for 141 Notice of Appeal	USCA Case Number Notice
146	2026-04-06	STATUS REPORT by Defendants (per PI Order para. requiring April 6 compliance status report)	Status Report
147	2026-04-09	ORDER: Defendants' 97 Admin Motion to Seal DENIED; file unredacted ECF 97-2 on public docket by April 13, 2026 (text-only)	Text-only entry
148	2026-04-10	NOTICE of Filing Unredacted Copy of ECF No. 97-2 by Defendants	Notice || Exhibit (Unredacted)
149	2026-04-21	JOINT STIPULATION WITH PROPOSED ORDER Regarding Case Schedule by Defendants	Stipulation || Proposed Order (Def) || Proposed Order (Pl)
150	2026-04-23	ORDER RE 149 STIPULATION: CAR due 5/22/2026; Def Answer 6/8; Pl MSJ 6/10; Def Opp/Cross-MSJ 6/24; Pl Reply 7/8; Def Reply 7/15; Hearing 7/30/2026 10:00 AM Courtroom 15	Order on Stipulation
151	2026-05-06	NOTICE of Withdrawal by Sopen B. Shah (Cato/Chamber/EFF/FALA/FIRE amici)	Notice of Withdrawal
152	2026-05-12	NOTICE of Change in Counsel: A. Berengaut no longer representing Former Service Secretaries/Retired Senior Military Officers	Notice of Change in Counsel
153	2026-05-22	STIPULATION WITH PROPOSED ORDER to Extend Deadline for Submission of Partial Administrative Record (DHS) by Defendants	Stipulation || Declaration || Proposed Order
154	2026-05-22	Order granting 153 Stipulation: DHS administrative record due 5/29/2026 (text-only)	Text-only entry
155	2026-05-22	NOTICE by Defendants - Filing Certified Index of Administrative Record. Attachments: Cert. Index of Admin Record; Decl. Monken; Decl. Starr; Decl. Tunnessen	Notice || Cert. Index of AR || Decl. Monken || Decl. Starr || Decl. Tunnessen
